"user_id","image_paths","user_claim","claim_object","evidence_standard_met","evidence_standard_met_reason","risk_flags","issue_type","object_part","claim_status","claim_status_justification","supporting_image_ids","valid_image","severity"
"user_001","images/sample/case_001/img_1.jpg","Customer: Hi, I found new damage on my car after it was parked outside overnight. | Support: Sorry to hear that. Can you describe what changed? | Customer: The back of the car has a dent now. It was not there before. | Support: Did anything else break or is it mostly body damage? | Customer: Mostly the rear bumper area. I attached the photo I took this morning.","car","true","The image clearly shows a dent and deformation on the rear bumper, which matches the user's claim of new damage in that area.","none","dent","rear_bumper","supported","The image img_1 clearly shows a significant dent and deformation on the rear bumper, which directly aligns with the customer's reported damage.","img_1","true","high"
"user_002","images/sample/case_002/img_1.jpg;images/sample/case_002/img_2.jpg","Customer: Parking lot mein meri car ko scrape lag gaya. | Support: Aap kis type ka damage report karna chahte hain? | Customer: Front side par mark aa gaya hai, bumper ke upar. | Support: Light damage hai ya body par scratch? | Customer: Light theek hai, front bumper par scratch hai. Photos upload kar diye hain.","car","true","The first image (img_1) clearly shows a scrape and dent on the front bumper, which aligns with the user's claim. The second image (img_2) does not show any damage but is not relevant to the claim.","none","unknown","front_bumper","supported","The image img_1 clearly shows a scrape and dent on the front bumper, which directly supports the user's claim of damage to that specific area.","img_1","true","medium"
"user_004","images/sample/case_003/img_1.jpg;images/sample/case_003/img_2.jpg","Customer: I am opening a claim for my windshield. | Support: What happened? | Customer: A small stone hit it while I was driving and now there is a crack spreading from that spot. | Support: Is the car otherwise okay? | Customer: Yes, this is only about the front glass. I added the pictures I have.","car","true","The first image clearly shows a crack on the windshield, which aligns with the user's claim. The second image shows no damage but does not contradict the claim.","none","crack","windshield","supported","The claim is supported as img_1 clearly shows a crack on the windshield, which is consistent with the user's description of a stone impact.","img_1","true","medium"
"user_007","images/sample/case_004/img_1.jpg","Customer: Someone clipped my car while it was parked. | Support: What part was hit? | Customer: The side mirror got damaged. It is not sitting the way it should anymore. | Support: Was there any damage to the door too? | Customer: I did not notice anything else major, just the mirror.","car","true","The image clearly shows the side mirror with cracked glass, which aligns with the user's claim of damage to the side mirror. No evidence contradicts the claim.","none","unknown","side_mirror","supported","The image img_1 clearly shows a cracked side mirror, which directly confirms the customer's report of damage to that specific part.","img_1","true","medium"
"user_005","images/sample/case_005/img_1.jpg;images/sample/case_005/img_2.jpg","Customer: I want to file this as bumper damage. | Support: Can you tell me what happened? | Customer: The car was tapped from behind and now the back looks damaged. | Support: Are you asking for review of the rear side? | Customer: Yes, the back bumper. It looks pretty bad to me, so I uploaded both photos.","car","true","The claim specifies damage to the rear bumper, but the images show a dent on the rear side panel (img_1) and no visible damage to the rear bumper (img_2).","claim_mismatch;manual_review_required;user_history_risk","none","unknown","contradicted","The user claimed damage to the rear bumper, but img_2 shows the rear bumper is intact. While img_1 shows a dent on the rear side panel, this contradicts the specific part claimed, and the user has a history of exaggerated claims.","img_1;img_2","true","none"
"user_006","images/sample/case_006/img_1.jpg","Customer: Hi, I am not fully sure how to explain this because I noticed it only after reaching home. | Support: No problem, please tell me what happened. | Customer: There was a small bump earlier, nothing major, and I first thought everything was fine. Later I looked at the car again because my family member said the front area looked different. | Support: Are you reporting a general vehicle issue or a specific damaged part? | Customer: I was confused at first because I checked the side and the front and walked around the car a few times. I do not want to claim the wrong thing. | Support: That is okay. What part do you want reviewed? | Customer: After checking again, I think the issue is with the headlight. It looks like the headlight may be cracked, so please review that part.","car","false","The claimed car is not clearly visible in any submitted image.","low_light_or_glare","none","unknown","not_enough_information","The submitted image does not provide a clear view of the claimed area, and the evidence standard is not met due to low light and poor visibility. Consequently, it is impossible to verify the existence of any damage.","none","false","unknown"
"user_003","images/sample/case_007/img_1.jpg;images/sample/case_007/img_2.jpg","Customer: There is a dent along the side of my car. | Support: When did you notice it? | Customer: This morning, after the car had been parked near the gate. | Support: Is it near the front or back? | Customer: It is on the door panel area. I attached two photos from different distances.","car","true","The second image (img_2) clearly shows a dent on the door panel, which matches the user's claim. The first image (img_1) is blurry and does not provide useful evidence.","blurry_image","dent","unknown","supported","The damage is confirmed by img_2, which clearly shows a dent on the door panel. Although img_1 is blurry, img_2 provides sufficient evidence to verify the claim.","img_2","true","medium"
"user_008","images/sample/case_008/img_1.jpg","Customer: I picked up my car after service and noticed a mark on the hood. | Support: What kind of mark is it? | Customer: It looks like a scratch across the top panel. | Support: Do you think it happened during service? | Customer: Yes, that is why I am asking for review. The photo is attached.","car","false","The claimed car is not clearly visible in any submitted image.","claim_mismatch;manual_review_required;non_original_image;user_history_risk","unknown","unknown","not_enough_information","The evidence standard was not met as the submitted image does not show the claimed hood scratch and appears to be a non-original stock photo. Due to the lack of relevant evidence and high-risk flags, the claim cannot be verified.","none","false","unknown"
"user_009","images/sample/case_009/img_1.jpg","Customer: My laptop fell from the table yesterday. | Support: Is it turning on? | Customer: It turns on, but the display glass has a crack now. | Support: Are you reporting the screen only or the whole laptop? | Customer: The screen is the issue. I attached a photo of it open.","laptop","true","The image clearly shows a laptop with a cracked screen, which aligns with the user's claim of damage to the screen caused by a fall.","none","crack","screen","supported","The image img_1 clearly shows a laptop with a high-severity crack on the screen, which directly supports the user's claim of damage caused by a fall.","img_1","true","high"
"user_010","images/sample/case_010/img_1.jpg;images/sample/case_010/img_2.jpg","Customer: The laptop no longer opens smoothly. | Support: What seems to be wrong mechanically? | Customer: The hinge area has broken and the screen wobbles. | Support: Did this happen after a drop? | Customer: Yes, it slipped from the sofa. I uploaded photos from the outside and side.","laptop","true","The first image clearly shows a broken hinge and damage to the screen frame, which aligns with the user's claim of a broken hinge causing the screen to wobble. The second image provides context but does not show the damage.","none","broken_part","unknown","supported","The visual evidence in img_1 clearly confirms a broken hinge and screen frame damage, which directly supports the user's claim regarding the laptop's mechanical failure.","img_1","true","high"
"user_011","images/sample/case_011/img_1.jpg","Customer: I spilled water near my laptop while working. | Support: What part was affected? | Customer: It went over the keys and left a stain. Some keys feel sticky now. | Support: Is the display damaged too? | Customer: No, this is about the keyboard area only.","laptop","true","The image clearly shows water on the keyboard area of the laptop, which aligns with the user's claim of spilling water on the keyboard.","none","water_damage","keyboard","supported","The image img_1 clearly shows water presence on the keyboard area, which directly supports the customer's claim of spilling water on the keyboard.","img_1","true","medium"
"user_012","images/sample/case_012/img_1.jpg;images/sample/case_012/img_2.jpg","Customer: My laptop bag fell from a chair and hit the floor. | Support: What damage did you notice? | Customer: One corner of the laptop has a dent now. | Support: Does the laptop still work? | Customer: It works, but the outer corner is damaged. I added two photos.","laptop","true","The second image (img_2) clearly shows a dent on the corner of the laptop, which aligns with the user's claim. The first image (img_1) does not provide relevant evidence as the corner is not visible.","low_light_or_glare","dent","unknown","supported","The image img_2 clearly shows a dent on the corner of the laptop, which is consistent with the user's claim. Despite the low light flag, the damage is clearly visible and identifiable.","img_2","true","low"
"user_018","images/sample/case_013/img_1.jpg","Customer: I am not sure if this should be a repair claim or a replacement claim, so I wanted to ask first. | Support: We can help. What device is this about? | Customer: It is my laptop. I carry it every day, and yesterday my bag got pressed between two seats during travel. At first I thought the laptop was okay because it still opened. | Support: What changed after that? | Customer: Later, while using it, I noticed marks on the display area. I restarted it twice because I thought it might just be something on the screen, but it still bothered me. | Support: Are you reporting keyboard, hinge, body, or screen damage? | Customer: Not the keyboard or hinge. The issue I want checked is the screen. It looks shattered to me, so I am submitting this as screen damage.","laptop","true","The image clearly shows a shattered laptop screen, which aligns with the user's claim of screen damage. The damage is consistent with the described incident.","none","unknown","screen","supported","The image img_1 clearly shows a shattered laptop screen, which directly confirms the user's report of damage sustained during travel. The visual evidence is consistent with the described incident of the laptop being compressed.","img_1","true","high"
"user_020","images/sample/case_014/img_1.jpg","Customer: The laptop trackpad has stopped working properly. | Support: Did anything happen before it stopped working? | Customer: The front area hit the desk edge when I moved it. | Support: Are you reporting internal function or physical damage? | Customer: Physical damage around the trackpad area. I attached the photo for review.","laptop","true","The image shows a minor scratch near the trackpad area, but it does not provide clear evidence of significant physical damage or any damage directly affecting the trackpad itself. The claim of physical damage to the trackpad area is partially supported but inconclusive regarding functional impact.","manual_review_required;user_history_risk","unknown","unknown","not_enough_information","While img_1 shows a minor scratch near the trackpad, it does not provide clear evidence of functional damage to the trackpad itself. Given the user history risk and the inconclusive nature of the visual evidence regarding the trackpad's operation, the claim cannot be fully supported.","none","true","unknown"
"user_015","images/sample/case_015/img_1.jpg","Customer: My delivery box arrived damaged. | Support: What part of the package was affected? | Customer: One corner was crushed in when I received it. | Support: Is the item inside part of this claim? | Customer: Not right now. I am reporting the package corner damage.","package","true","The image clearly shows the claimed package corner with visible crushing damage, consistent with the user's description.","none","crushed_packaging","package_corner","supported","The image img_1 clearly shows the package corner with visible crushing damage, which directly aligns with the customer's description of the issue.","img_1","true","medium"
"user_030","images/sample/case_016/img_1.jpg;images/sample/case_016/img_2.jpg","Customer: Package receive hua toh opened jaisa lag raha tha. | Support: Tape broken tha ya box crush hua tha? | Customer: Seal wali side phati hui thi, jaise parcel khola gaya ho. | Support: Kya andar ka item missing hai? | Customer: Abhi item missing claim nahi kar raha, sirf torn packaging review karwana hai.","package","true","The first image (img_1) clearly shows torn packaging on the side of the package, consistent with the user's claim. The second image (img_2) shows an intact package, but it is less relevant to the claim.","none","torn_packaging","package_side","supported","The image img_1 clearly shows torn packaging on the side of the package, which directly supports the customer's claim regarding the condition of the parcel upon receipt.","img_1","true","medium"
"user_031","images/sample/case_017/img_1.jpg","Customer: I received a package that looks water damaged. | Support: Was the item inside wet too? | Customer: I have not opened everything yet, but the outside has a wet-looking stain. | Support: So the claim is about the package condition? | Customer: Yes, the package surface looked damaged when it arrived.","package","true","The image clearly shows a water stain on the side of the package, which matches the user's claim of water damage to the package exterior.","manual_review_required;user_history_risk","water_damage","package_side","supported","The image img_1 clearly shows a water stain on the side of the package, which directly supports the customer's claim of water damage. Despite the user_history_risk flag, the visual evidence provided is consistent with the reported issue.","img_1","true","medium"
"user_032","images/sample/case_018/img_1.jpg;images/sample/case_018/img_2.jpg","Customer: The item I ordered was not inside the box. | Support: Did the package look opened when you received it? | Customer: I checked it after delivery and could not find the product inside. | Support: What are you asking us to verify? | Customer: Please verify that the contents are missing from the package.","package","false","The claimed item is not visible in the submitted images, and the exterior packaging does not show signs of tampering to confirm the missing contents.","damage_not_visible;manual_review_required","unknown","item","not_enough_information","While img_1 shows the interior of the box without the item, the exterior of the box in img_2 appears sealed and untampered, making it impossible to verify if the item was missing at the time of delivery or removed later. Due to the lack of definitive evidence regarding the package's state upon ar...","none","true","unknown"
"user_033","images/sample/case_019/img_1.jpg","Customer: The shipping box arrived in bad condition. | Support: What kind of condition issue are you reporting? | Customer: It looked badly crushed when it was delivered. | Support: Is the claim about the outside box or the product inside? | Customer: The outside box. I want the crushed box reviewed.","package","false","The claimed package is not clearly visible in any submitted image.","claim_mismatch;manual_review_required;user_history_risk","none","unknown","contradicted","The user claims the exterior shipping box is crushed, but img_1 shows only a dented product can, which contradicts the claimed object and part. Given the user's history of exaggerating package damage, this claim is rejected due to the mismatch between the claim and the visual evidence.","img_1","false","none"
